('DEk', 2, 0.02244695899571525)
('DCw', 2, 0.022898457005794626)
('DEw', 2, 0.022622472999501042)
('DE{', 2, 0.022655023996776436)
('DC{', 2, 0.02403568800218636)
('DQo', 1, 0.003305400998215191)
('D?{', 3, 0.026537150995864067)
('DFw', 3, 0.025701717000629287)
('DF{', 3, 0.025868789001833647)
('DQw', 2, 0.004769474995555356)
('DTw', 2, 0.0047106929996516556)
('DQ{', 2, 0.005357426998671144)
('DUW', 2, 0.004067965004651342)
('DUw', 2, 0.004810105994693004)
('DU{', 2, 0.005222562998824287)
('DT{', 3, 0.007674663000216242)
('D]w', 2, 0.004890120995696634)
('D]{', 2, 0.004948565001541283)
('DV{', 3, 0.006840061003458686)
('D^{', 3, 0.006597208004677668)
('D~{', 4, 0.007118977002392057)
