('F?BDw', 3, 0.0339179709990276)
('F?BDo', 3, 0.035134224002831616)
('F?B@w', 3, 0.038339521997841075)
('F?Bco', 2, 0.006022633999236859)
('F?AFo', 4, 0.042123888997593895)
('F?Bcw', 2, 0.00711122000211617)
('F?AFw', 4, 0.046912466998037416)
('F?Bew', 3, 0.007821013998182025)
('F??Fw', 5, 0.05176798799948301)
('F?Beo', 3, 0.013046017003944144)
('F?BvW', 3, 0.008364582005015109)
('F?BvO', 3, 0.013879140999051742)
('F?Bfo', 4, 0.02101728400157299)
('F?Bfw', 4, 0.02128765499946894)
('F?Bvo', 4, 0.02096112200524658)
('F?B~o', 5, 0.015312570001697168)
('F?Bvw', 4, 0.02168618699943181)
('F?`F_', 3, 0.013004673994146287)
('F?`Fo', 3, 0.012944702000822872)
('F?`cg', 2, 0.006460014003096148)
('F?`cw', 2, 0.007030601002043113)
('F?`e_', 2, 0.006086881003284361)
('F?`eo', 2, 0.003969021003285889)
('F?`eg', 2, 0.0061507479986175895)
('F?`Fw', 3, 0.014100448999670334)
('F?`ew', 2, 0.006702962004055735)
('F?B~w', 5, 0.027703922001819592)
('F?`fg', 3, 0.008221896998293232)
('F?BFo', 4, 0.09383675699791638)
('F?`uO', 2, 0.006892207995406352)
('F?`f_', 3, 0.012679238003329374)
('F?BFw', 4, 0.09388106000551488)
('F?`uW', 2, 0.007408593999571167)
('F?`fo', 3, 0.012806633996660821)
('F?`v?', 2, 0.0064122010007849894)
('F?`fw', 3, 0.01340711100056069)
('F?`vO', 2, 0.0069272349937818944)
('F?`vG', 2, 0.0073318959985044785)
('F?`vW', 2, 0.007280044002982322)
('F?bB_', 2, 0.0063340380002046)
('F?`v_', 3, 0.01357845299935434)
('F?`vg', 3, 0.013197585998568684)
('F?`vo', 3, 0.013606260996311903)
('F?`vw', 3, 0.013580384002125356)
('F?aN_', 3, 0.013770088000455871)
('F?aNo', 3, 0.013562972002546303)
('F?bDg', 2, 0.006382430001394823)
('F?bDo', 2, 0.006222503005119506)
('F?bBo', 2, 0.007154801998694893)
('F?aNw', 4, 0.020951473001332488)
('F?bLo', 2, 0.0069958890017005615)
('F?bFg', 3, 0.012482097998145036)
('F?bF_', 3, 0.014510325003357138)
('F?bN_', 2, 0.010744707004050724)
('F?bFo', 3, 0.014061545000004116)
('F?bLw', 3, 0.014810016000410542)
('F?bFw', 3, 0.016398334002587944)
('F?bao', 2, 0.005481913001858629)
('F?baw', 2, 0.006520478003949393)
('F?bNg', 3, 0.012911138001072686)
('F?bbo', 2, 0.007100811999407597)
('F?bNo', 3, 0.014550683001289144)
('F?beg', 2, 0.006499811002868228)
('F?bbw', 2, 0.007369067003310192)
('F?bcw', 2, 0.007086540994350798)
('F?beo', 2, 0.006979773999773897)
('F?bNw', 3, 0.016563060002226848)
('F?bew', 2, 0.00735455600079149)
('F?bmo', 2, 0.006863891001557931)
('F?bf_', 3, 0.01319134299410507)
('F?bfg', 3, 0.012950265001563821)
('F?bfo', 3, 0.013095792004605755)
('F?bfw', 3, 0.013230985001428053)
('F?bmw', 3, 0.011950439999054652)
('F?bnw', 3, 0.01338525900064269)
('F?bno', 3, 0.01481792100094026)
('F?bro', 3, 0.0138757809982053)
('F?bvW', 2, 0.00798407499678433)
('F?bvO', 2, 0.0075519020028878)
('F?brw', 3, 0.013978210001369007)
('F?opo', 2, 0.0073243020015070215)
('F?bvo', 3, 0.01456494699959876)
('F?osW', 2, 0.007140961999539286)
('F?bv_', 4, 0.020207995003147516)
('F?bvw', 3, 0.014717707999807317)
('F?otO', 2, 0.005624475998047274)
('F?bvg', 4, 0.020789165995665826)
('F?otW', 2, 0.006415777999791317)
('F?oto', 2, 0.006694039999274537)
('F?ouW', 2, 0.0070633069990435615)
('F?ov?', 2, 0.00642949300527107)
('F?b~o', 4, 0.0206473520011059)
('F?b~w', 4, 0.020732285993290134)
('F?ovO', 2, 0.00624672800040571)
('F?ovW', 2, 0.006811099003243726)
('F?o~O', 2, 0.0066991659987252206)
('F?o|W', 2, 0.0073550680026528426)
('F?o|o', 2, 0.007515858000260778)
('F?ov_', 3, 0.012633475998882204)
('F?ovo', 3, 0.012538338000013027)
('F?ovw', 3, 0.013774723003734834)
('F?o}W', 3, 0.013754737003182527)
('F?o~W', 2, 0.007714153005508706)
